ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00:00,2024-01-01 10:00:00,EURUSD,120.60
2,2024-01-01 11:00:00,2024-01-01 12:00:00,EURUSD,100.53
3,2024-01-01 13:00:00,2024-01-01 14:00:00,EURUSD,105.04
4,2024-01-01 15:00:00,2024-01-01 16:00:00,EURUSD,-105.50
5,2024-01-01 17:00:00,2024-01-01 18:00:00,EURUSD,-105.97
6,2024-01-01 19:00:00,2024-01-01 20:00:00,EURUSD,-101.97
7,2024-01-01 21:00:00,2024-01-01 22:00:00,EURUSD,-90.81
8,2024-01-01 23:00:00,2024-01-02 00:00:00,EURUSD,126.21
9,2024-01-02 01:00:00,2024-01-02 02:00:00,EURUSD,-89.41
10,2024-01-02 03:00:00,2024-01-02 04:00:00,EURUSD,-97.95
11,2024-01-02 05:00:00,2024-01-02 06:00:00,EURUSD,98.71
12,2024-01-02 07:00:00,2024-01-02 08:00:00,EURUSD,-107.65
13,2024-01-02 09:00:00,2024-01-02 10:00:00,EURUSD,107.98
14,2024-01-02 11:00:00,2024-01-02 12:00:00,EURUSD,-109.84
15,2024-01-02 13:00:00,2024-01-02 14:00:00,EURUSD,-112.31
16,2024-01-02 15:00:00,2024-01-02 16:00:00,EURUSD,-93.67
17,2024-01-02 17:00:00,2024-01-02 18:00:00,EURUSD,111.22
18,2024-01-02 19:00:00,2024-01-02 20:00:00,EURUSD,128.78
19,2024-01-02 21:00:00,2024-01-02 22:00:00,EURUSD,-82.86
20,2024-01-02 23:00:00,2024-01-03 00:00:00,EURUSD,-84.06
21,2024-01-03 01:00:00,2024-01-03 02:00:00,EURUSD,115.97
22,2024-01-03 03:00:00,2024-01-03 04:00:00,EURUSD,-112.20
23,2024-01-03 05:00:00,2024-01-03 06:00:00,EURUSD,117.47
24,2024-01-03 07:00:00,2024-01-03 08:00:00,EURUSD,130.98
25,2024-01-03 09:00:00,2024-01-03 10:00:00,EURUSD,99.21
26,2024-01-03 11:00:00,2024-01-03 12:00:00,EURUSD,108.36
27,2024-01-03 13:00:00,2024-01-03 14:00:00,EURUSD,-85.79
28,2024-01-03 15:00:00,2024-01-03 16:00:00,EURUSD,100.09
29,2024-01-03 17:00:00,2024-01-03 18:00:00,EURUSD,-91.16
30,2024-01-03 19:00:00,2024-01-03 20:00:00,EURUSD,-106.15
31,2024-01-03 21:00:00,2024-01-03 22:00:00,EURUSD,119.44
32,2024-01-03 23:00:00,2024-01-04 00:00:00,EURUSD,-119.49
33,2024-01-04 01:00:00,2024-01-04 02:00:00,EURUSD,-117.50
34,2024-01-04 03:00:00,2024-01-04 04:00:00,EURUSD,-99.19
35,2024-01-04 05:00:00,2024-01-04 06:00:00,EURUSD,-85.08
36,2024-01-04 07:00:00,2024-01-04 08:00:00,EURUSD,-91.63
37,2024-01-04 09:00:00,2024-01-04 10:00:00,EURUSD,92.96
38,2024-01-04 11:00:00,2024-01-04 12:00:00,EURUSD,92.47
39,2024-01-04 13:00:00,2024-01-04 14:00:00,EURUSD,-113.30
40,2024-01-04 15:00:00,2024-01-04 16:00:00,EURUSD,-90.59
41,2024-01-04 17:00:00,2024-01-04 18:00:00,EURUSD,103.50
42,2024-01-04 19:00:00,2024-01-04 20:00:00,EURUSD,101.44
43,2024-01-04 21:00:00,2024-01-04 22:00:00,EURUSD,-99.41
44,2024-01-04 23:00:00,2024-01-05 00:00:00,EURUSD,98.23
45,2024-01-05 01:00:00,2024-01-05 02:00:00,EURUSD,-93.57
46,2024-01-05 03:00:00,2024-01-05 04:00:00,EURUSD,-92.67
47,2024-01-05 05:00:00,2024-01-05 06:00:00,EURUSD,-113.32
48,2024-01-05 07:00:00,2024-01-05 08:00:00,EURUSD,-118.38
