ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00:00,2024-01-01 10:00:00,EURUSD,127.20
2,2024-01-01 11:00:00,2024-01-01 12:00:00,EURUSD,132.34
3,2024-01-01 13:00:00,2024-01-01 14:00:00,EURUSD,-93.74
4,2024-01-01 15:00:00,2024-01-01 16:00:00,EURUSD,127.97
5,2024-01-01 17:00:00,2024-01-01 18:00:00,EURUSD,133.93
6,2024-01-01 19:00:00,2024-01-01 20:00:00,EURUSD,103.33
7,2024-01-01 21:00:00,2024-01-01 22:00:00,EURUSD,117.58
8,2024-01-01 23:00:00,2024-01-02 00:00:00,EURUSD,134.54
9,2024-01-02 01:00:00,2024-01-02 02:00:00,EURUSD,102.31
10,2024-01-02 03:00:00,2024-01-02 04:00:00,EURUSD,120.35
11,2024-01-02 05:00:00,2024-01-02 06:00:00,EURUSD,104.57
12,2024-01-02 07:00:00,2024-01-02 08:00:00,EURUSD,103.25
13,2024-01-02 09:00:00,2024-01-02 10:00:00,EURUSD,-103.96
14,2024-01-02 11:00:00,2024-01-02 12:00:00,EURUSD,-114.14
15,2024-01-02 13:00:00,2024-01-02 14:00:00,EURUSD,-104.16
16,2024-01-02 15:00:00,2024-01-02 16:00:00,EURUSD,-107.12
17,2024-01-02 17:00:00,2024-01-02 18:00:00,EURUSD,-89.53
18,2024-01-02 19:00:00,2024-01-02 20:00:00,EURUSD,102.21
19,2024-01-02 21:00:00,2024-01-02 22:00:00,EURUSD,117.24
20,2024-01-02 23:00:00,2024-01-03 00:00:00,EURUSD,132.14
21,2024-01-03 01:00:00,2024-01-03 02:00:00,EURUSD,-110.44
22,2024-01-03 03:00:00,2024-01-03 04:00:00,EURUSD,116.50
23,2024-01-03 05:00:00,2024-01-03 06:00:00,EURUSD,127.27
24,2024-01-03 07:00:00,2024-01-03 08:00:00,EURUSD,-106.47
25,2024-01-03 09:00:00,2024-01-03 10:00:00,EURUSD,-94.17
26,2024-01-03 11:00:00,2024-01-03 12:00:00,EURUSD,-104.91
27,2024-01-03 13:00:00,2024-01-03 14:00:00,EURUSD,-93.92
28,2024-01-03 15:00:00,2024-01-03 16:00:00,EURUSD,-104.71
29,2024-01-03 17:00:00,2024-01-03 18:00:00,EURUSD,122.54
30,2024-01-03 19:00:00,2024-01-03 20:00:00,EURUSD,-90.27
31,2024-01-03 21:00:00,2024-01-03 22:00:00,EURUSD,-85.02
32,2024-01-03 23:00:00,2024-01-04 00:00:00,EURUSD,125.84
33,2024-01-04 01:00:00,2024-01-04 02:00:00,EURUSD,136.51
34,2024-01-04 03:00:00,2024-01-04 04:00:00,EURUSD,124.92
35,2024-01-04 05:00:00,2024-01-04 06:00:00,EURUSD,-95.67
36,2024-01-04 07:00:00,2024-01-04 08:00:00,EURUSD,-114.54
37,2024-01-04 09:00:00,2024-01-04 10:00:00,EURUSD,-90.61
38,2024-01-04 11:00:00,2024-01-04 12:00:00,EURUSD,-111.92
39,2024-01-04 13:00:00,2024-01-04 14:00:00,EURUSD,115.88
40,2024-01-04 15:00:00,2024-01-04 16:00:00,EURUSD,-89.28
41,2024-01-04 17:00:00,2024-01-04 18:00:00,EURUSD,-99.01
42,2024-01-04 19:00:00,2024-01-04 20:00:00,EURUSD,-112.04
43,2024-01-04 21:00:00,2024-01-04 22:00:00,EURUSD,-88.59
44,2024-01-04 23:00:00,2024-01-05 00:00:00,EURUSD,122.27
45,2024-01-05 01:00:00,2024-01-05 02:00:00,EURUSD,-108.25
46,2024-01-05 03:00:00,2024-01-05 04:00:00,EURUSD,-94.75
47,2024-01-05 05:00:00,2024-01-05 06:00:00,EURUSD,115.39
